name,id,route_id
103 St,103 ST,1
103 St,103 ST,6
103 St,103 ST,C
103 St,103 ST,B
103 St - Corona Plaza,103 ST-CORONA,7
104 St,104 ST,A
104 St,104 ST,J
104 St,104 ST,Z
110 St,110 ST,6
111 St,111 ST,7
111 St,111 ST,A
111 St,111 ST,J
116 St,116 ST,2
116 St,116 ST,3
116 St,116 ST,6
116 St,116 ST,C
116 St,116 ST,B
116 St - Columbia University,116 ST-COLUMBIA,1
121 St,121 ST,J
121 St,121 ST,Z
125 St,125 ST,1
125 St,125 ST,3
125 St,125 ST,2
125 St,125 ST,6
125 St,125 ST,5
125 St,125 ST,4
125 St,125 ST,C
125 St,125 ST,A
125 St,125 ST,D
125 St,125 ST,B
135 St,135 ST,2
135 St,135 ST,3
135 St,135 ST,C
135 St,135 ST,B
137 St - City College,137 ST CITY COL,1
138 St - Grand Concourse,138/GRAND CONC,5
138 St - Grand Concourse,138/GRAND CONC,4
14 St,14 ST,1
14 St,14 ST,3
14 St,14 ST,2
14 St,14 ST,F
14 St,14 ST,M
8 AV,14 ST,A
8 AV,14 ST,C
8 AV,14 ST,E
145 St,145 ST,1
145 St,145 ST,3
145 St,145 ST,C
145 St,145 ST,A
145 St,145 ST,D
145 St,145 ST,B
149 St - Grand Concourse,149/GRAND CONC,5
149 St - Grand Concourse,149/GRAND CONC,2
149 St - Grand Concourse,149/GRAND CONC,4
15 St - Prospect Park,15 ST-PROSPECT,G
15 St - Prospect Park,15 ST-PROSPECT,F
155 St,155 ST,D
155 St,155 ST,B
155 St,155 ST,C
157 St,157 ST,1
163 St - Amsterdam Av,163 ST-AMSTERDM,C
167 St,167 ST,4
167 St,167 ST,D
167 St,167 ST,B
169 St,169 ST,F
170 St,170 ST,4
170 St,170 ST,D
170 St,170 ST,B
174 St,174 ST,2
174 St,174 ST,5
174-175 Sts,174-175 STS,D
174-175 Sts,174-175 STS,B
175 St,175 ST,A
176 St,176 ST,4
18 Av,18 AV,D
18 Av,18 AV,F
18 Av,18 AV,N
18 St,18 ST,1
181 St,181 ST,1
181 St,181 ST,A
182-183 Sts,182-183 STS,D
182-183 Sts,182-183 STS,B
183 St,183 ST,4
190 St,190 ST,A
191 St,191 ST,1
2 Av,2 AV,F
20 Av,20 AV,D
20 Av,20 AV,N
207 St,207 ST,1
21 St,21 ST,G
21 St - Queensbridge,21 ST-QNSBRIDGE,F
215 ST,215 ST,1
219 St,219 ST,2
219 St,219 ST,5
225 St,225 ST,2
225 St,225 ST,5
23 St,23 ST,1
23 St,23 ST,6
23 St,23 ST,E
23 St,23 ST,C
23 St,23 ST,F
23 St,23 ST,M
23 St,23 ST,W
23 St,23 ST,R
231 St,231 ST,1
233 St,233 ST,2
233 St,233 ST,5
238 St,238 ST,1
25 Av,25 AV,D
25 St,25 ST,R
28 St,28 ST,1
28 St,28 ST,6
28 St,28 ST,R
28 St,28 ST,W
3 Av - 138 St,3 AV 138 ST,6
3 AV-149 ST,3 AV-149 ST,5
3 AV-149 ST,3 AV-149 ST,2
30 Av,30 AV,W
30 Av,30 AV,N
33 St,33 ST,6
33 St - Rawson St,33 ST-RAWSON ST,7
34 St - Herald Sq,34 ST-HERALD SQ,N
34 St - Herald Sq,34 ST-HERALD SQ,R
34 St - Herald Sq,34 ST-HERALD SQ,W
34 St - Herald Sq,34 ST-HERALD SQ,Q
34 St - Herald Sq,34 ST-HERALD SQ,F
34 St - Herald Sq,34 ST-HERALD SQ,D
34 St - Herald Sq,34 ST-HERALD SQ,B
34 St - Herald Sq,34 ST-HERALD SQ,M
34 St - Hudson Yds,34 ST-HUDSON YD,7
36 Av,36 AV,N
36 Av,36 AV,W
36 St,36 ST,N
36 St,36 ST,R
36 St,36 ST,D
36 St,36 ST,R
36 St,36 ST,M
39 Av,39 AV,W
