name,id
"Van Cortlandt Park - 242 St",none
"238 St","238 ST"
"231 St","231 ST"
"Marble Hill - 225 St","MARBLE HILL-225"
"215 St","215 ST"
"207 St","207 ST"
"Dyckman St","DYCKMAN ST"
"191 St","191 ST"
"181 St","181 ST"
"168 St - Washington Hts","168 ST"
"157 St","157 ST"
"145 St","145 ST"
"137 St - City College","137 ST CITY COL"
"125 St","125 ST"
"116 St - Columbia University","116 ST-COLUMBIA"
"Cathedral Pkwy (110 St)","CATHEDRAL PKWY"
"103 St","103 ST"
"96 St","96 ST"
"86 St","86 ST"
"79 St","79 ST"
"72 St","72 ST"
"66 St - Lincoln Center","66 ST-LINCOLN"
"59 St - Columbus Circle","59 ST COLUMBUS"
"50 St","50 ST"
"Times Sq - 42 St","TIMES SQ-42 ST"
"34 St - Penn Station","34 ST-PENN STA"
"28 St","28 ST"
"23 St","23 ST"
"18 St","18 ST"
"14 St","14 ST"
"Christopher St - Sheridan Sq","CHRISTOPHER ST"
"Houston St","HOUSTON ST"
"Canal St","CANAL ST"
"Franklin St","FRANKLIN AV"
"Chambers St","CHAMBERS ST"
"Cortlandt St","CORTLANDT ST"
"Rector St","RECTOR ST"
"South Ferry","SOUTH FERRY"
"Wakefield - 241 St","WAKEFIELD/241"
"Nereid Av","NEREID AV"
"233 St","233 ST"
"225 St","225 ST"
"219 St","219 ST"
"Gun Hill Rd","GUN HILL RD"
"Burke Av","BURKE AV"
"Allerton Av","ALLERTON AV"
"Pelham Pkwy","PELHAM PKWY"
"Bronx Park East","BRONX PARK EAST"
"E 180 St","E 180 ST"
"West Farms Sq - E Tremont Av","WEST FARMS SQ"
"174 St","174 ST"
"Freeman St","FREEMAN ST"
"Simpson St","SIMPSON ST"
"Intervale Av","INTERVALE AV"
"Prospect Av","PROSPECT AV"
"Jackson Av","JACKSON AV"
"3 Av - 149 St","3 AV-149 ST"
"149 St - Grand Concourse","149/GRAND CONC"
"135 St","135 ST"
"116 St","116 ST"
"Central Park North (110 St)","CENTRAL PK N110"
"Park Pl","PARK PLACE"
"Fulton St","FULTON ST"
"Wall St","WALL ST"
"Clark St","CLARK ST"
"Borough Hall","BOROUGH HALL"
"Hoyt St","HOYT ST"
"Nevins St","NEVINS ST"
"Atlantic Av - Barclays Ctr","ATL AV-BARCLAY"
"Bergen St","BERGEN ST"
"Grand Army Plaza","GRAND ARMY PLAZ"
"Eastern Pkwy - Brooklyn Museum",none
"Franklin Av","FRANKLIN AV"
"President St","PRESIDENT ST"
"Sterling St","STERLING ST"
"Winthrop St","WINTHROP ST"
"Church Av","CHURCH AV"
"Beverly Rd","BEVERLY RD"
"Newkirk Av","NEWKIRK AV"
"Flatbush Av - Brooklyn College","FLATBUSH AV-B.C"
"Nostrand Av","NOSTRAND AV"
"Kingston Av","KINGSTON AV"
"Crown Hts - Utica Av","CROWN HTS-UTICA"
"Sutter Av - Rutland Rd","SUTTER AV-RUTLD"
"Saratoga Av","SARATOGA AV"
"Rockaway Av","ROCKAWAY PARK B"
"Junius St","JUNIUS ST"
"Pennsylvania Av","PENNSYLVANIA AV"
"Van Siclen Av",hasTwo
"New Lots Av","NEW LOTS AV"
"Harlem - 148 St","HARLEM 148 ST"
"Woodlawn","Woodlawn"
"Mosholu Pkwy","MOSHOLU PKWY"
"Bedford Park Blvd - Lehman College","BEDFORD PK BLVD"
"Kingsbridge Rd","KINGSBRIDGE RD"
"Fordham Rd","FORDHAM RD"
"183 St","183 ST"
"Burnside Av","BURNSIDE AV"
"176 St","176 ST"
"Mt Eden Av","MT EDEN AV"
"170 St","170 ST"
"167 St","167 ST"
"161 St - Yankee Stadium","161/YANKEE STAD"
"138 St - Grand Concourse","138/GRAND CONC"
"Bowling Green","BOWLING GREEN"
"59 St","59 ST"
"Grand Central - 42 St","GRD CNTRL-42 ST"
"14 St - Union Sq","14 ST-UNION SQ"
"Brooklyn Bridge - City Hall","BROOKLYN BRIDGE"
"Eastchester - Dyre Av","EASTCHSTER/DYRE"
"Baychester Av","BAYCHESTER AV"
"Morris Park","MORRIS PARK"
"Pelham Bay Park","PELHAM BAY PARK"
"Buhre Av","BUHRE AV"
"Middletown Rd","MIDDLETOWN RD"
"Westchester Sq - E Tremont Av","WESTCHESTER SQ"
"Zerega Av","ZEREGA AV"
"Castle Hill Av","CASTLE HILL AV"
"Parkchester","PARKCHESTER"
"St Lawrence Av","ST LAWRENCE AV"
"Morrison Av- Sound View",none
"Elder Av","ELDER AV"
"Whitlock Av","WHITLOCK AV"
"Hunts Point Av","HUNTS POINT AV"
"Longwood Av","LONGWOOD AV"
"E 149 St","E 149 ST"
"E 143 St - St Mary's St","E 143/ST MARY'S"
"Cypress Av","CYPRESS AV"
"Brook Av",none
"3 Av - 138 St","3 AV 138 ST"
"110 St","110 ST"
"77 St","77 ST"
"68 St - Hunter College","68ST-HUNTER CO"
"51 St","51 ST"
"33 St","33 ST-RAWSON ST"
"Astor Pl","ASTOR PL"
"Bleecker St","BLEECKER ST"
